id,N_sim_600_655
0,28
1,16
2,19
3,34
4,30
5,22
6,28
7,23
8,38
9,24
10,29
11,28
12,17
13,22
14,31
15,34
16,24
17,25
18,28
19,30
20,28
21,27
22,27
23,31
24,22
25,22
26,20
27,29
28,31
29,26
30,27
31,27
32,25
33,35
34,37
35,25
36,20
37,24
38,19
39,22
40,29
41,31
42,28
43,36
44,47
45,23
46,34
47,40
48,19
49,26
50,30
51,34
52,29
53,24
54,40
55,33
56,32
57,31
58,25
59,29
60,17
61,19
62,22
63,30
64,24
65,28
66,40
67,36
68,32
69,34
70,32
71,24
72,11
73,17
74,27
75,26
76,22
77,24
78,34
79,31
80,35
81,29
82,24
83,28
84,23
85,20
86,17
87,24
88,26
89,32
90,35
91,24
92,29
93,31
94,28
95,35
96,13
97,12
98,22
99,17
100,25
101,30
102,21
103,33
104,29
105,19
106,18
107,46
108,14
109,22
110,24
111,20
112,20
113,22
114,29
115,18
116,21
117,30
118,30
119,29
120,25
121,19
122,25
123,18
124,30
125,21
126,33
127,28
128,31
129,37
130,40
131,29
132,17
133,17
134,16
135,23
136,30
137,32
138,27
139,41
140,20
141,23
142,35
143,32
144,13
145,27
146,31
147,23
148,27
149,26
150,29
151,36
152,38
153,30
154,23
155,38
156,19
157,23
158,24
159,23
160,27
161,36
162,34
163,43
164,35
165,34
166,36
167,40
168,19
169,19
170,22
171,28
172,26
173,37
174,36
175,44
176,37
177,25
178,34
179,29
180,27
181,22
182,18
183,30
184,33
185,44
186,40
187,45
188,34
189,44
190,41
191,36
192,26
193,29
194,28
195,31
196,30
197,38
198,37
199,40
200,39
201,37
202,42
203,42
204,25
205,21
206,36
207,31
208,42
209,29
210,41
211,47
212,47
213,37
214,36
215,32
216,18
217,24
218,22
219,29
220,31
221,34
222,27
223,44
224,39
225,38
226,38
227,34
228,19
229,16
230,19
231,26
232,27
233,33
234,40
235,34
236,33
237,31
238,35
239,35
