id,N_sim_600_655,N_sim_655_665
0,139,153
1,161,177
2,145,167
3,168,173
4,180,187
5,174,188
6,174,191
7,191,191
8,177,209
9,223,212
10,202,185
11,174,228
12,159,145
13,159,148
14,165,148
15,162,173
16,194,214
17,177,178
18,185,200
19,210,202
20,220,202
21,227,206
22,181,192
23,212,191
24,147,118
25,152,158
26,138,157
27,190,195
28,177,197
29,206,192
30,163,190
31,194,199
32,207,202
33,227,223
34,207,202
35,203,215
36,152,117
37,145,179
38,132,148
39,163,190
40,171,184
41,187,196
42,204,201
43,202,182
44,207,223
45,199,224
46,191,202
47,199,210
48,125,158
49,160,163
50,181,166
51,166,168
52,182,176
53,192,179
54,177,214
55,193,195
56,219,222
57,205,207
58,211,203
59,206,204
60,139,142
61,161,150
62,155,165
63,172,163
64,167,170
65,196,199
66,206,189
67,201,209
68,186,237
69,220,198
70,217,210
71,227,218
72,137,129
73,153,142
74,143,159
75,184,166
76,186,192
77,183,184
78,209,194
79,212,220
80,205,231
81,230,197
82,220,194
83,196,178
84,121,127
85,147,147
86,141,160
87,146,174
88,181,175
89,216,182
90,182,157
91,178,190
92,194,226
93,201,203
94,187,190
95,204,191
96,124,120
97,134,129
98,157,141
99,159,161
100,169,160
101,160,175
102,191,188
103,193,174
104,185,211
105,203,181
106,192,208
107,206,195
108,131,120
109,120,140
110,135,150
111,152,148
112,138,137
113,155,170
114,180,179
115,168,167
116,154,183
117,163,171
118,186,210
119,178,196
120,121,137
121,142,126
122,125,152
123,168,153
124,167,192
125,192,208
126,225,195
127,223,211
128,188,211
129,196,197
130,201,206
131,195,211
132,114,130
133,119,138
134,147,153
135,159,167
136,168,189
137,190,242
138,212,170
139,214,205
140,220,230
141,211,231
142,237,214
143,208,179
144,126,152
145,133,170
146,174,150
147,192,175
148,190,215
149,192,203
150,202,202
151,248,210
152,215,225
153,229,235
154,210,245
155,195,247
156,162,133
157,151,122
158,174,148
159,200,177
160,199,195
161,231,203
162,249,250
163,241,270
164,244,228
165,213,235
166,234,227
167,253,255
168,152,155
169,152,161
170,175,181
171,190,200
172,236,227
173,269,265
174,247,279
175,258,260
176,275,299
177,264,251
178,284,241
179,238,264
180,146,153
181,172,175
182,164,176
183,169,208
184,264,234
185,233,270
186,307,300
187,266,275
188,282,275
189,312,249
190,248,232
191,270,288
192,146,156
193,163,169
194,172,217
195,186,189
196,252,232
197,294,270
198,267,343
199,296,313
200,273,323
201,307,302
202,263,284
203,236,264
204,126,131
205,167,163
206,184,194
207,216,228
208,235,270
209,269,294
210,313,286
211,321,299
212,311,309
213,241,292
214,238,289
215,262,272
216,129,136
217,110,135
218,182,195
219,214,219
220,257,235
221,269,250
222,303,302
223,325,294
224,281,311
225,254,296
226,256,254
227,257,277
228,122,122
229,142,150
230,156,167
231,196,191
232,216,227
233,251,240
234,285,253
235,277,269
236,242,273
237,258,263
238,262,218
239,233,253
